authored_selector	emitted_metric	source_family	source_type	source_labels	operator_owner	entity_identity	signal_role	observation_population	cross_family_relationship	unit_algebra	label_roles_and_optionality	availability_gate	evidence_and_uncertainty	disposition	destination	source_path
ray_vllm_e2e_request_latency_seconds_count	ray_vllm_e2e_request_latency_seconds_count	ray_vllm_e2e_request_latency_seconds	histogram	Component,ReplicaId,SessionName,Version,WorkerId,engine,le,model_name	vLLM/Request Lifecycle	model_name,engine,ReplicaId,WorkerId	latency	Histogram of e2e request latency in seconds.	histogram count component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> requests/s; counted/measured object: Histogram of e2e request latency in seconds.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Request Lifecycle / Lifecycle Request Measurements [request_measurements; requests/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_e2e_request_latency_seconds_sum	ray_vllm_e2e_request_latency_seconds_sum	ray_vllm_e2e_request_latency_seconds	histogram	Component,ReplicaId,SessionName,Version,WorkerId,engine,le,model_name	vLLM/Request Lifecycle	model_name,engine,ReplicaId,WorkerId	latency	Histogram of e2e request latency in seconds.	histogram sum component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> in-flight; counted/measured object: Histogram of e2e request latency in seconds.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Request Lifecycle / End-to-End Request Concurrency [end_to_end_concurrency; in-flight; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_engine_sleep_state	ray_vllm_engine_sleep_state	ray_vllm_engine_sleep_state	gauge	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name,sleep_state	vLLM/Scheduler	model_name,engine,ReplicaId,WorkerId	state/configuration	Engine sleep state; awake = 0 means engine is sleeping; awake = 1 means engine is awake; weights_offloaded = 1 means sleep level 1; discard_all = 1 means sleep level 2.	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw gauge -> absolute -> state; counted/measured object: Engine sleep state; awake = 0 means engine is sleeping; awake = 1 means engine is awake; weights_offloaded = 1 means sleep level 1; discard_all = 1 means sleep level 2.	identity=model_name,engine,ReplicaId,WorkerId; dimension=sleep_state; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Scheduler / Engine Sleep State [sleep_state; state; absolute]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_estimated_flops_per_gpu_total	ray_vllm_estimated_flops_per_gpu_total	ray_vllm_estimated_flops_per_gpu_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/Engine Execution	model_name,engine,ReplicaId,WorkerId	utilization/resource	Estimated number of floating point operations per GPU (for Model Flops Utilization calculations).	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> GFLOP/s/GPU; counted/measured object: Estimated number of floating point operations per GPU (for Model Flops Utilization calculations).	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Engine Execution / Estimated Compute per GPU [estimated_compute; GFLOP/s/GPU; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_estimated_read_bytes_per_gpu_total	ray_vllm_estimated_read_bytes_per_gpu_total	ray_vllm_estimated_read_bytes_per_gpu_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/Engine Execution	model_name,engine,ReplicaId,WorkerId	utilization/resource	Estimated number of bytes read from memory per GPU (for Model Flops Utilization calculations).	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> GB/s/GPU; counted/measured object: Estimated number of bytes read from memory per GPU (for Model Flops Utilization calculations).	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Engine Execution / Estimated Memory Bandwidth per GPU [estimated_memory_bandwidth; GB/s/GPU; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_estimated_write_bytes_per_gpu_total	ray_vllm_estimated_write_bytes_per_gpu_total	ray_vllm_estimated_write_bytes_per_gpu_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/Engine Execution	model_name,engine,ReplicaId,WorkerId	utilization/resource	Estimated number of bytes written to memory per GPU (for Model Flops Utilization calculations).	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> GB/s/GPU; counted/measured object: Estimated number of bytes written to memory per GPU (for Model Flops Utilization calculations).	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Engine Execution / Estimated Memory Bandwidth per GPU [estimated_memory_bandwidth; GB/s/GPU; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_external_prefix_cache_hits	ray_vllm_external_prefix_cache_hits	ray_vllm_external_prefix_cache_hits	gauge	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	<excluded>	<none>	workload/outcome	Deprecated Ray counter compatibility gauge: External prefix cache hits from KV connector cross-instance cache sharing, in terms of number of cached tokens.	Ray compatibility gauge alias of the canonical counter family; default unless RAY_EXPORT_COUNTER_AS_GAUGE=0	raw gauge; no rendered unit because job-excluded	source labels=Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name; no chart identity/dimension role	Ray node metrics export; compatibility alias enabled by default and disabled with RAY_EXPORT_COUNTER_AS_GAUGE=0	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_external_prefix_cache_hits_total	ray_vllm_external_prefix_cache_hits_total	ray_vllm_external_prefix_cache_hits_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/KV Cache	model_name,engine,ReplicaId,WorkerId	workload/outcome	External prefix cache hits from KV connector cross-instance cache sharing, in terms of number of cached tokens.	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> tokens/s; counted/measured object: External prefix cache hits from KV connector cross-instance cache sharing, in terms of number of cached tokens.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/KV Cache / External Prefix Cache [external_prefix; tokens/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_external_prefix_cache_queries	ray_vllm_external_prefix_cache_queries	ray_vllm_external_prefix_cache_queries	gauge	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	<excluded>	<none>	workload/outcome	Deprecated Ray counter compatibility gauge: External prefix cache queries from KV connector cross-instance cache sharing, in terms of number of queried tokens.	Ray compatibility gauge alias of the canonical counter family; default unless RAY_EXPORT_COUNTER_AS_GAUGE=0	raw gauge; no rendered unit because job-excluded	source labels=Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name; no chart identity/dimension role	Ray node metrics export; compatibility alias enabled by default and disabled with RAY_EXPORT_COUNTER_AS_GAUGE=0	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_external_prefix_cache_queries_total	ray_vllm_external_prefix_cache_queries_total	ray_vllm_external_prefix_cache_queries_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/KV Cache	model_name,engine,ReplicaId,WorkerId	workload/outcome	External prefix cache queries from KV connector cross-instance cache sharing, in terms of number of queried tokens.	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> tokens/s; counted/measured object: External prefix cache queries from KV connector cross-instance cache sharing, in terms of number of queried tokens.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/KV Cache / External Prefix Cache [external_prefix; tokens/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_generation_tokens	ray_vllm_generation_tokens	ray_vllm_generation_tokens	gauge	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	<excluded>	<none>	workload/outcome	Deprecated Ray counter compatibility gauge: Number of generation tokens processed.	Ray compatibility gauge alias of the canonical counter family; default unless RAY_EXPORT_COUNTER_AS_GAUGE=0	raw gauge; no rendered unit because job-excluded	source labels=Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name; no chart identity/dimension role	Ray node metrics export; compatibility alias enabled by default and disabled with RAY_EXPORT_COUNTER_AS_GAUGE=0	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_generation_tokens_total	ray_vllm_generation_tokens_total	ray_vllm_generation_tokens_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/Decode	model_name,engine,ReplicaId,WorkerId	workload/outcome	Number of generation tokens processed.	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> tokens/s; counted/measured object: Number of generation tokens processed.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/Decode / Generated Tokens [generation_throughput; tokens/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_hf3fs_load_duration_seconds_bucket	ray_vllm_hf3fs_load_duration_seconds_bucket	ray_vllm_hf3fs_load_duration_seconds	histogram	Component,ReplicaId,SessionName,Version,WorkerId,engine,le,model_name	vLLM/HF3FS Connector	model_name,engine,ReplicaId,WorkerId	latency	Histogram of load duration for HF3FSKVConnector.	histogram bucket component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> observations/s; counted/measured object: Histogram of load duration for HF3FSKVConnector.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/HF3FS Connector / HF3FS Load Duration [load_duration; observations/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_hf3fs_load_duration_seconds_count	ray_vllm_hf3fs_load_duration_seconds_count	ray_vllm_hf3fs_load_duration_seconds	histogram	Component,ReplicaId,SessionName,Version,WorkerId,engine,le,model_name	vLLM/HF3FS Connector	model_name,engine,ReplicaId,WorkerId	latency	Histogram of load duration for HF3FSKVConnector.	histogram count component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> operations/s; counted/measured object: Histogram of load duration for HF3FSKVConnector.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/HF3FS Connector / HF3FS Transfer Measurements [transfer_measurements; operations/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_hf3fs_load_duration_seconds_sum	ray_vllm_hf3fs_load_duration_seconds_sum	ray_vllm_hf3fs_load_duration_seconds	histogram	Component,ReplicaId,SessionName,Version,WorkerId,engine,le,model_name	vLLM/HF3FS Connector	model_name,engine,ReplicaId,WorkerId	latency	Histogram of load duration for HF3FSKVConnector.	histogram sum component; same observation population as the family bucket/quantile, count, and sum components	raw histogram -> incremental -> in-flight; counted/measured object: Histogram of load duration for HF3FSKVConnector.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version,le retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/HF3FS Connector / HF3FS Transfer Concurrency [transfer_concurrency; in-flight; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_hf3fs_num_failed_load	ray_vllm_hf3fs_num_failed_load	ray_vllm_hf3fs_num_failed_load	gauge	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	<excluded>	<none>	error/outcome	Deprecated Ray counter compatibility gauge: Number of failed HF3FS KV load.	Ray compatibility gauge alias of the canonical counter family; default unless RAY_EXPORT_COUNTER_AS_GAUGE=0	raw gauge; no rendered unit because job-excluded	source labels=Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name; no chart identity/dimension role	Ray node metrics export; compatibility alias enabled by default and disabled with RAY_EXPORT_COUNTER_AS_GAUGE=0	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
ray_vllm_hf3fs_num_failed_load_total	ray_vllm_hf3fs_num_failed_load_total	ray_vllm_hf3fs_num_failed_load_total	counter	Component,ReplicaId,SessionName,Version,WorkerId,engine,model_name	vLLM/HF3FS Connector	model_name,engine,ReplicaId,WorkerId	error/outcome	Number of failed HF3FS KV load.	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> failures/s; counted/measured object: Number of failed HF3FS KV load.	identity=model_name,engine,ReplicaId,WorkerId; remaining=Component,SessionName,Version retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	Ray node metrics export carrying vLLM metrics; underlying vLLM feature/connector gate also applies	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	vLLM/HF3FS Connector / HF3FS Transfer Failures [failures; failures/s; incremental]	ray-project/ray @ 03491225d59a1ffde99c3628969ccf456be13efd; src/ray/stats/metric_exporter.cc plus vLLM registration path
