"metric","value"
"OSNiceTimeCPU9",0
"NetworkReceivePackets_veth22b9458",0
"BlockWriteOps_sr0",0
"BlockWriteTime_sda",0
"OSGuestTimeCPU6",0
"NetworkReceiveBytes_ens18",442
"CPUFrequencyMHz_10",2000
"BlockReadOps_sr0",0
"CPUFrequencyMHz_7",2000
"CPUFrequencyMHz_13",2000
"CPUFrequencyMHz_6",2000
"CPUFrequencyMHz_5",2000
"BlockDiscardOps_sr0",0
"NetworkReceiveErrors_vethfa2b7f2",0
"CPUFrequencyMHz_4",2000
"CPUFrequencyMHz_3",2000
"CPUFrequencyMHz_1",2000
"OSNiceTimeCPU6",0
"NetworkSendPackets_vethb608e1b",0
"CPUFrequencyMHz_0",2000
"OSGuestNiceTimeCPU0",0
"OSMemoryFreePlusCached",28217331712
"TCPThreads",1
"OSStealTimeCPU6",0
"OSMemoryCached",9402826752
"OSMemoryBuffers",1473716224
"OSMemoryAvailable",29864460288
"MemoryDataAndStack",101636190208
"OSUserTimeCPU11",0
"ReplicasMaxMergesInQueue",0
"OSGuestTimeNormalized",0
"OSSoftIrqTimeNormalized",0.0012498662643097187
"OSGuestNiceTimeCPU13",0
"OSIrqTimeNormalized",0
"OSUserTimeCPU4",0
"OSIOWaitTimeNormalized",0
"OSIdleTimeNormalized",0.9892691482011424
"OSSystemTimeNormalized",0.004999465057238875
"BlockWriteBytes_sr0",0
"NetworkReceivePackets_docker0",0
"OSUserTimeNormalized",0.0024997325286194375
"OSSystemTime",0.079991440915822
"NetworkReceivePackets_br-392a8d0e2863",0
"OSProcessesCreated",7
"OSInterrupts",2971
"BlockWriteMerges_sr0",0
"OSProcessesRunning",7
"BlockInFlightOps_sda",0
"CPUFrequencyMHz_9",2000
"OSGuestTimeCPU5",0
"OSNiceTimeCPU13",0
"TotalPartsOfMergeTreeTables",26
"OSGuestTimeCPU15",0
"OSStealTimeCPU15",0
"OSIrqTimeCPU15",0
"OSGuestTimeCPU10",0
"OSStealTimeCPU1",0
"OSSystemTimeCPU15",0
"OSNiceTimeCPU15",0
"PageCachePinnedBytes",0
"OSUserTimeCPU15",0
"OSSoftIrqTimeCPU14",0
"OSIdleTimeCPU14",0.999893011447775
"OSIdleTimeCPU1",0.9898940813332973
"OSSoftIrqTimeCPU13",0
"OSStealTimeCPU12",0
"OSIdleTimeCPU13",0.9898940813332973
"NetworkSendBytes_veth0cdb608",0
"MemoryResidentMax",15751659520
"OSIdleTimeCPU15",0.999893011447775
"OSGuestNiceTimeCPU5",0
"OSGuestNiceTimeCPU12",0
"OSIrqTime",0
"OSGuestTimeCPU9",0
"OSGuestTimeCPU12",0
"OSSoftIrqTimeCPU12",0
"OSIdleTime",15.828306371218279
"OSSoftIrqTimeCPU7",0
"OSUserTimeCPU2",0
"OSIdleTimeCPU12",0.9898940813332973
"OSGuestTimeCPU2",0
"OSSystemTimeCPU12",0.00999893011447775
"OSSystemTimeCPU10",0.00999893011447775
"OSGuestTimeCPU11",0
"OSStealTimeCPU11",0
"OSSoftIrqTimeCPU11",0
"OSIOWaitTimeCPU11",0
"BlockQueueTime_dm-0",0
"OSIdleTimeCPU11",0.999893011447775
"OSIrqTimeCPU8",0
"OSNiceTimeCPU11",0
"OSStealTimeCPU10",0
"NetworkReceivePackets_vethb608e1b",0
"NetworkReceiveErrors_br-392a8d0e2863",0
"OSNiceTimeCPU14",0
"NetworkSendPackets_veth22b9458",0
"OSSystemTimeCPU2",0
"OSSoftIrqTimeCPU10",0
"ReplicasMaxRelativeDelay",0
"OSIrqTimeCPU10",0
"MMapCacheCells",0
"OSIrqTimeCPU9",0
"NetworkReceiveDrop_veth0cdb608",0
"OSIrqTimeCPU1",0
"OSIrqTimeCPU14",0
"OSIrqTimeCPU13",0
"NetworkSendDrop_docker0",0
"OSIdleTimeCPU10",0.9798951512188194
"OSGuestTimeCPU14",0
"OSUserTimeCPU13",0
"OSIOWaitTimeCPU14",0
"OSStealTimeCPU9",0
"NetworkReceiveErrors_veth22b9458",0
"NetworkReceiveDrop_dummy0",0
"OSSoftIrqTimeCPU9",0
"OSIOWaitTimeCPU9",0
"OSIdleTimeCPU9",0.999893011447775
"OSGuestTimeCPU3",0
"OSIOWaitTimeCPU13",0
"BlockReadTime_sr0",0
"OSSoftIrqTimeCPU15",0
"OSIOWaitTimeCPU12",0
"OSGuestTimeCPU8",0
"OSStealTimeCPU8",0
"OSUserTimeCPU0",0
"OSIdleTimeCPU8",0.9798951512188194
"OSGuestNiceTimeCPU4",0
"OSUserTimeCPU8",0.00999893011447775
"OSSystemTimeCPU9",0
"PrometheusThreads",1
"NetworkSendErrors_veth22b9458",0
"OSMemoryTotal",33652854784
"OSGuestNiceTimeCPU7",0
"OSStealTimeCPU7",0
"BlockReadOps_dm-0",0
"OSStealTimeCPU14",0
"OSGuestNiceTimeCPU8",0
"NetworkReceivePackets_vethe1fd940",0
"OSIdleTimeCPU7",0.9898940813332973
"OSSoftIrqTimeCPU8",0
"OSNiceTimeCPU7",0
"OSIOWaitTimeCPU8",0
"OSIOWaitTimeCPU6",0
"NetworkSendBytes_vethb608e1b",0
"NetworkSendBytes_ens18",714
"OSIdleTimeCPU3",0.9898940813332973
"OSGuestNiceTimeCPU11",0
"jemalloc.background_thread.num_threads",0
"BlockReadTime_sda",0
"OSSoftIrqTimeCPU6",0
"OSSoftIrqTimeCPU2",0
"OSGuestNiceTimeCPU2",0
"OSUserTimeCPU12",0
"LoadAverage5",0.22
"OSGuestNiceTimeCPU10",0
"jemalloc.background_thread.num_runs",0
"FilesystemLogsPathUsedINodes",847436
"OSIrqTimeCPU6",0
"OSIrqTimeCPU7",0
"HashTableStatsCacheHits",124
"OSNiceTimeCPU0",0
"CPUFrequencyMHz_8",2000
"MarkCacheBytes",76560
"FilesystemMainPathTotalINodes",13057072
"NetworkSendPackets_veth0cdb608",0
"NetworkReceiveDrop_br-392a8d0e2863",0
"OSStealTimeNormalized",0
"NetworkReceiveDrop_veth8415c5c",0
"BlockDiscardBytes_sr0",0
"OSSystemTimeCPU5",0.00999893011447775
"OSUptime",1444727.52
"FilesystemLogsPathTotalINodes",13057072
"NetworkSendPackets_veth8415c5c",0
"OSStealTimeCPU4",0
"OSSoftIrqTimeCPU4",0
"NetworkSendErrors_vethfa2b7f2",0
"NetworkSendBytes_veth8415c5c",0
"MemoryShared",333160448
"OSGuestTimeCPU4",0
"jemalloc.metadata",265969056
"OSGuestNiceTimeCPU15",0
"NumberOfTablesSystem",100
"OSSystemTimeCPU11",0
"OSIdleTimeCPU4",0.9898940813332973
"IndexMarkCacheFiles",0
"OSIOWaitTimeCPU15",0
"OSNiceTimeCPU4",0
"jemalloc.arenas.all.pactive",113928
"OSUserTimeCPU1",0
"NetworkReceivePackets_ens18",3
"OSIrqTimeCPU3",0
"OSIOWaitTimeCPU3",0
"OSUserTime",0.039995720457911
"OSIdleTimeCPU5",0.9898940813332973
"OSOpenFiles",3008
"OSIrqTimeCPU5",0
"PostgreSQLThreads",0
"OSUserTimeCPU10",0
"TotalPrimaryKeyBytesInMemory",74202
"OSIrqTimeCPU2",0
"jemalloc.mapped",1036132352
"BlockWriteMerges_dm-0",0
"OSMemoryFreeWithoutCached",18814504960
"DiskTotal_default",210679332864
"OSGuestNiceTimeCPU3",0
"OSIrqTimeCPU12",0
"OSIOWaitTimeCPU5",0
"OSNiceTimeCPU1",0
"NetworkReceiveDrop_ens18",0
"jemalloc.active",466649088
"OSNiceTimeCPU12",0
"OSGuestNiceTimeNormalized",0
"OSSystemTimeCPU14",0
"OSSoftIrqTimeCPU5",0
"BlockReadTime_dm-0",0
"MemoryResident",1279381504
"BlockDiscardMerges_dm-0",0
"OSGuestTimeCPU0",0
"NetworkSendDrop_vethe1fd940",0
"MemoryVirtual",102527639552
"OSSystemTimeCPU3",0.00999893011447775
"OSNiceTimeCPU3",0
"FilesystemMainPathUsedBytes",45181276160
"OSUserTimeCPU14",0
"OSSoftIrqTime",0.0199978602289555
"jemalloc.metadata_thp",0
"OSStealTimeCPU0",0
"OSSystemTimeCPU0",0
"OSGuestNiceTimeCPU14",0
"OSStealTimeCPU2",0
"OSSystemTimeCPU1",0
"BlockInFlightOps_dm-0",0
"OSSystemTimeCPU6",0.02999679034343325
"VMMaxMapCount",262144
"NetworkSendPackets_docker0",0
"OSUserTimeCPU3",0.00999893011447775
"OSGuestTime",0
"OSNiceTimeCPU5",0
"OSIOWaitTimeCPU1",0
"OSIOWaitTime",0
"jemalloc.arenas.all.pmuzzy",0
"NetworkSendErrors_docker0",0
"OSNiceTime",0
"LoadAverage15",0.24
"OSIdleTimeCPU0",0.9898940813332973
"MarkCacheFiles",54
"OSIOWaitTimeCPU4",0
"BlockWriteMerges_sda",0
"NumberOfTables",128
"OSIrqTimeCPU0",0
"jemalloc.arenas.all.muzzy_purged",0
"NetworkSendDrop_vethb608e1b",0
"OSProcessesBlocked",0
"jemalloc.allocated",412954608
"NetworkSendErrors_dummy0",0
"ReplicasMaxAbsoluteDelay",0
"OSThreadsRunnable",8
"OSStealTimeCPU5",0
"LoadAverage1",0.18
"OSGuestTimeCPU7",0
"BlockDiscardBytes_sda",0
"jemalloc.arenas.all.pdirty",60698
"OSIdleTimeCPU6",0.9698962211043417
"OSSystemTimeCPU4",0
"OSStealTime",0
"MemoryCode",283267072
"AsynchronousMetricsUpdateInterval",1.000107
"NetworkReceiveBytes_docker0",0
"BlockDiscardBytes_dm-0",0
"jemalloc.arenas.all.dirty_purged",363559728
"HashTableStatsCacheEntries",9
"MySQLThreads",0
"FilesystemMainPathTotalBytes",210679332864
"jemalloc.resident",960614400
"OSGuestTimeCPU13",0
"jemalloc.background_thread.run_intervals",0
"BlockReadOps_sda",0
"OSIOWaitTimeCPU0",0
"OSIdleTimeCPU2",0.9898940813332973
"BlockWriteBytes_sda",0
"OSGuestTimeCPU1",0
