authored_selector	emitted_metric	source_family	source_type	source_labels	operator_owner	entity_identity	signal_role	observation_population	cross_family_relationship	unit_algebra	label_roles_and_optionality	availability_gate	evidence_and_uncertainty	disposition	destination	source_path
litellm_batch_write_to_db_latency_created	litellm_batch_write_to_db_latency_created	litellm_batch_write_to_db_latency_created	gauge	batch_write_to_db	<excluded>	<none>	latency	Latency for batch_write_to_db service	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=batch_write_to_db; no chart identity/dimension role	managed batch callback	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_batch_write_to_db_total_requests_created	litellm_batch_write_to_db_total_requests_created	litellm_batch_write_to_db_total_requests_created	gauge	batch_write_to_db	<excluded>	<none>	workload/outcome	Total total_requests for batch_write_to_db service	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=batch_write_to_db; no chart identity/dimension role	managed batch callback	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_batch_write_to_db_total_requests_total	litellm_batch_write_to_db_total_requests_total	litellm_batch_write_to_db_total_requests_total	counter	batch_write_to_db	LiteLLM/Internal Services	<global>	workload/outcome	Total total_requests for batch_write_to_db service	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> requests/s; counted/measured object: Total total_requests for batch_write_to_db service	identity=<global>; remaining=batch_write_to_db retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	managed batch callback	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Internal Services / Internal Service Requests [internal_service_requests; requests/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_cache_hits_metric_created	litellm_cache_hits_metric_created	litellm_cache_hits_metric_created	gauge	api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user	<excluded>	<none>	domain signal	Total number of LiteLLM cache hits	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user; no chart identity/dimension role	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_cache_hits_metric_total	litellm_cache_hits_metric_total	litellm_cache_hits_metric_total	counter	api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user	LiteLLM/Caching	<global>	domain signal	Total number of LiteLLM cache hits	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> lookups/s; counted/measured object: Total number of LiteLLM cache hits	identity=<global>; remaining=api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Caching / Cache Outcomes [cache_outcomes; lookups/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
"litellm_cache_hits_metric_total{api_provider=~"".+"",model=~"".+""}"	litellm_cache_hits_metric_total	litellm_cache_hits_metric_total	counter	api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user	LiteLLM/Caching/By Provider and Model	api_provider,model	domain signal	Total number of LiteLLM cache hits	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> lookups/s; counted/measured object: Total number of LiteLLM cache hits	identity=api_provider,model; routing=api_provider,model; complementary blank/nonblank routes mark those labels optional; remaining=api_key_alias,end_user,hashed_api_key,model_id,team,team_alias,user retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Caching/By Provider and Model / Cache Outcomes by Provider and Model [cache_outcomes_by_provider_model; lookups/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_cache_misses_metric_created	litellm_cache_misses_metric_created	litellm_cache_misses_metric_created	gauge	api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user	<excluded>	<none>	error/outcome	Total number of LiteLLM cache misses	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user; no chart identity/dimension role	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_cache_misses_metric_total	litellm_cache_misses_metric_total	litellm_cache_misses_metric_total	counter	api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user	LiteLLM/Caching	<global>	error/outcome	Total number of LiteLLM cache misses	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> lookups/s; counted/measured object: Total number of LiteLLM cache misses	identity=<global>; remaining=api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Caching / Cache Outcomes [cache_outcomes; lookups/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
"litellm_cache_misses_metric_total{api_provider=~"".+"",model=~"".+""}"	litellm_cache_misses_metric_total	litellm_cache_misses_metric_total	counter	api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user	LiteLLM/Caching/By Provider and Model	api_provider,model	error/outcome	Total number of LiteLLM cache misses	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> lookups/s; counted/measured object: Total number of LiteLLM cache misses	identity=api_provider,model; routing=api_provider,model; complementary blank/nonblank routes mark those labels optional; remaining=api_key_alias,end_user,hashed_api_key,model_id,team,team_alias,user retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Caching/By Provider and Model / Cache Outcomes by Provider and Model [cache_outcomes_by_provider_model; lookups/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_cached_tokens_metric_created	litellm_cached_tokens_metric_created	litellm_cached_tokens_metric_created	gauge	api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user	<excluded>	<none>	workload/outcome	Total tokens served from LiteLLM cache	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user; no chart identity/dimension role	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_cached_tokens_metric_total	litellm_cached_tokens_metric_total	litellm_cached_tokens_metric_total	counter	api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user	LiteLLM/Caching	<global>	workload/outcome	Total tokens served from LiteLLM cache	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> tokens/s; counted/measured object: Total tokens served from LiteLLM cache	identity=<global>; remaining=api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Caching / LiteLLM Cached Token Throughput [litellm_cached_token_throughput; tokens/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
"litellm_cached_tokens_metric_total{api_provider=~"".+"",model=~"".+""}"	litellm_cached_tokens_metric_total	litellm_cached_tokens_metric_total	counter	api_key_alias,api_provider,end_user,hashed_api_key,model,model_id,team,team_alias,user	LiteLLM/Caching/By Provider and Model	api_provider,model	workload/outcome	Total tokens served from LiteLLM cache	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> tokens/s; counted/measured object: Total tokens served from LiteLLM cache	identity=api_provider,model; routing=api_provider,model; complementary blank/nonblank routes mark those labels optional; remaining=api_key_alias,end_user,hashed_api_key,model_id,team,team_alias,user retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	LiteLLM Prometheus callback; prometheus_metrics_config may select families/labels	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Caching/By Provider and Model / LiteLLM Cached Token Throughput by Provider and Model [litellm_cached_token_throughput_by_provider_model; tokens/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_callback_logging_failures_metric_created	litellm_callback_logging_failures_metric_created	litellm_callback_logging_failures_metric_created	gauge	callback_name	<excluded>	<none>	error/outcome	Total number of failures when emitting logs to callbacks (e.g. s3_v2, langfuse, etc)	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=callback_name; no chart identity/dimension role	callback instrumentation	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_callback_logging_failures_metric_total	litellm_callback_logging_failures_metric_total	litellm_callback_logging_failures_metric_total	counter	callback_name	LiteLLM/Callbacks and Inventory	<global>	error/outcome	Total number of failures when emitting logs to callbacks (e.g. s3_v2, langfuse, etc)	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> failures/s; counted/measured object: Total number of failures when emitting logs to callbacks (e.g. s3_v2, langfuse, etc)	identity=<global>; remaining=callback_name retained as source metadata or intentionally aggregated by this chart; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	callback instrumentation	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Callbacks and Inventory / Callback Logging Failures [callback_logging_failures; failures/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
"litellm_callback_logging_failures_metric_total{callback_name=~"".+""}"	litellm_callback_logging_failures_metric_total	litellm_callback_logging_failures_metric_total	counter	callback_name	LiteLLM/Callbacks and Inventory/By Callback	callback_name	error/outcome	Total number of failures when emitting logs to callbacks (e.g. s3_v2, langfuse, etc)	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> failures/s; counted/measured object: Total number of failures when emitting logs to callbacks (e.g. s3_v2, langfuse, etc)	identity=callback_name; routing=callback_name; complementary blank/nonblank routes mark those labels optional; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	callback instrumentation	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Callbacks and Inventory/By Callback / Callback Logging Failures by Callback [callback_logging_failures_by_callback; failures/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_check_batch_cost_errors_created	litellm_check_batch_cost_errors_created	litellm_check_batch_cost_errors_created	gauge	error_type	<excluded>	<none>	error/outcome	Total number of errors in CheckBatchCost by error type	generated registration-timestamp companion; excluded from operational charts	raw gauge; no rendered unit because job-excluded	source labels=error_type; no chart identity/dimension role	managed batch callback	source-derived synthetic shape/routing proof; exclusion reason is runtime-validated	job-excluded	recommended job exclusion; lost question documented in OPERATOR-MODEL.md	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
litellm_check_batch_cost_errors_total	litellm_check_batch_cost_errors_total	litellm_check_batch_cost_errors_total	counter	error_type	LiteLLM/Managed Batch and Files	<global>	error/outcome	Total number of errors in CheckBatchCost by error type	independent source family unless a source-defined relationship is stated in OPERATOR-MODEL.md	raw counter -> incremental -> errors/s; counted/measured object: Total number of errors in CheckBatchCost by error type	identity=<global>; dimension=error_type; label availability follows exporter configuration; no optional label is used as instance identity unless the chart route requires it	managed batch callback	source-derived synthetic shape/routing proof; does not prove live enablement, values, cadence, or cardinality	chart	LiteLLM/Managed Batch and Files / Batch-Cost Processing Errors by Type [batch_cost_processing_errors_by_type; errors/s; incremental]	BerriAI/litellm @ 23de7a15d9d40006ee596e617475ba101d60c5e9; litellm/integrations/prometheus*.py and update callsites audited in OPERATOR-MODEL.md
