# Netdata Topology OUI Vendor Dataset
# Generated: 2026-02-26T08:31:44Z
# Sources:
# - ieee_oui https://standards-oui.ieee.org/oui/oui.csv
# - ieee_cid https://standards-oui.ieee.org/cid/cid.csv
# - ieee_oui36 https://standards-oui.ieee.org/oui36/oui36.csv
# - ieee_iab https://standards-oui.ieee.org/iab/iab.csv
# Format: <HEX_PREFIX>\t<VENDOR>
001BC5000	Converging Systems Inc.
001BC5082	TGS Geophysical Company (UK) Limited
001BC5083	DIWEL
001BC5084	Applied Innovations Research LLC
001BC5085	Oberon microsystems, Inc.
001BC5086	CAST Group of Companies Inc.
001BC5087	Onnet Technologies and Innovations LLC
001BC5088	UAB Kitron
001BC5089	SIGNATURE CONTROL SYSTEMS, INC.
001BC508A	Topicon
001BC508B	Nistica
001BC508C	Triax A/S
001BC508D	EUREK  SRL
001BC508E	TrendPoint Systems
001BC508F	Unilever R&amp;D
001BC5090	Seven Solutions S.L
001BC5091	3green ApS
001BC5092	Arnouse Digital Devices, Corp.
001BC5093	Ambient Devices, Inc.
001BC5094	reelyActive
001BC5095	PREVAC sp. z o.o.
001BC5096	Sanstreak Corp.
001BC5097	Plexstar Inc.
001BC5098	Cubic Systems, Inc.
001BC5099	UAB Kitron
001BC509A	Shenzhen Guang Lian Zhi Tong Limited
001BC509B	YIK Corporation
001BC509C	MECCALTE SPA
001BC509D	Navitar Inc
001BC509E	K+K Messtechnik GmbH
001BC509F	ENTE Sp. z o.o.
001BC50A0	Silvair
001BC50A1	Hangzhou Zhiping Technology Co., Ltd.
001BC50A2	Hettich Benelux
001BC50A3	P A Network Laboratory Co.,Ltd
001BC50A4	RADMOR S.A.
001BC50A5	Tesla Controls
001BC50A6	Balter Security GmbH
001BC50A7	L.G.L. Electronics S.p.a.
001BC50A8	Link Precision
001BC50A9	Elektrometal SA
001BC50AA	Senceive Ltd
001BC50AB	Evondos Oy
001BC50AC	AVnu Alliance
001BC50AD	Tierra Japan Co.,Ltd
001BC50AE	Techlan Reti s.r.l.
001BC50AF	Enerwise Solutions Ltd.
001BC50B0	J-D.COM
001BC50B1	Roslen Eco-Networking Products
001BC50B2	SKODA ELECTRIC a.s.
001BC50B3	FSM Solutions Limited
001BC50B4	COBAN SRL
001BC50B5	Exibea AB
001BC50B6	VEILUX INC.
001BC50B7	Autelis, LLC
001BC50B8	Private
001BC50B9	Denki Kogyo Company, Limited
001BC50BA	NT MICROSYSTEMS
001BC50BB	Triax A/S
001BC50BC	kuwatec, Inc.
001BC50BD	Bridge Diagnostics, Inc.
001BC50BE	YESpay International Ltd
001BC50BF	TN Core Co.,Ltd.
001BC50C0	Digital Loggers, Inc.
001BC50C1	EREE Electronique
001BC50C2	TechSolutions A/S
001BC50C3	inomatic GmbH
001BC50C4	ELDES
001BC50C5	Gill Instruments Ltd
001BC50C6	CyanConnode
001BC50C7	WIZZILAB SAS
001BC50C8	Dialine
001BC50C9	UAB Kitron
0050C2000	T.L.S. Corp.
0050C2001	JMBS Developpements
0050C2002	Integrated Automation Solutions
0050C2003	Microsoft
0050C2004	SCI Technology Inc.
0050C2005	GD California, Inc.
0050C2006	Project Management Enterprises, Inc.
0050C2007	Clive Green & Co. Ltd.
0050C2008	Portable Add-Ons
0050C2009	Datakinetics Ltd.
0050C200A	Tharsys
0050C200B	IO Limited
0050C200C	Vbrick Systems Inc.
0050C200D	Opus Telecom Inc.
0050C200E	TTTech
0050C200F	XLN-t
0050C2010	Moisture Systems
0050C2011	Bihl + Wiedemann GmbH
0050C2012	Floware System Solutions Ltd.
0050C2013	Sensys Technologies Inc.
0050C2014	Canal +
0050C2015	LEROY AUTOMATION
0050C2016	DSP Design Ltd.
0050C2017	Hunter Technology Inc.
0050C2018	CAD-UL GmbH
0050C2019	Emtac Technology Corp.
0050C201A	Skylake Talix
0050C201B	Cross Products Ltd.
0050C201C	Tadiran Scopus
0050C201D	Princeton Gamma Tech
0050C201E	CallTech International Limited
0050C201F	KBS Industrieelektronik GmbH
0050C2020	Icon Research Ltd.
0050C2021	DRS Technologies Canada Co.
0050C2022	Ashling Microsystems Ltd.
0050C2023	Zabacom, Inc.
0050C2024	IPITEK
0050C2025	TERACOM TELEMATICA S.A
0050C2026	Abatis Systems Corp.
0050C2027	Industrial Control Links
0050C2028	The Frensch Corporation (Pty) Ltd.
0050C2029	Grossenbacher Systeme AG
0050C202A	VersaLogic Corp.
0050C202B	Nova Engineering Inc.
0050C202C	Narrowband Telecommunications
0050C202D	Innocor LTD
0050C202E	Turtle Mountain Corp
0050C202F	Sinetica Corp
0050C2030	Lockheed Martin Tactical Defense Systems Eagan
0050C2031	Eloquence Ltd
0050C2032	MotionIO
0050C2033	Doble Engineering
0050C2034	Ing. Buero W. Kanis GmbH
0050C2035	Alliant Techsystems, Inc.
0050C2036	Arcturus Networks Inc.
0050C2037	E.I.S.M.
0050C2038	Etheira Technologies
0050C2039	Apex Signal Corp
0050C203A	PLLB Elettronica SPA
0050C203B	VNR Electronique SA
0050C203C	BrainBoxes Ltd
0050C203D	ISDN Gateway Technology AG
0050C203E	MSU UK Ltd
0050C203F	Celotek Corp
0050C2040	MiSPO Co., Ltd.
0050C2041	Damler Chrysler Rail System (Signal) AB
0050C2042	B.E.A.R. Solutions (Australasia) Pty, Ltd
0050C2043	Curtis, Inc.
0050C2044	Private
0050C2045	Chase Manhattan Bank
0050C2046	Private
0050C2047	B. R. Electronics
0050C2048	Cybectec Inc.
0050C2049	Computer Concepts Corp
0050C204A	Telecom Analysis Systems, LP
0050C204B	Tecstar Demo Systems Division
0050C204C	New Standard Engineering NV
0050C204E	Industrial Electronic Engineers, Inc.
0050C204F	Luma Corporation
0050C2050	Dataprobe, Inc.
0050C2051	JSR Ultrasonics
0050C2052	Mayo Foundation
0050C2054	Optionexist Limited
0050C2055	San Castle Technologies, Inc.
0050C2056	Base 2
0050C2057	Lite F GmBH
0050C2058	Vision Research, Inc.
0050C2059	Austco Marketing & Service (USA) ltd.
0050C205A	Sonifex Ltd
0050C205B	Radiometer Medical A/S
0050C205C	Nortel Networks PLC (UK)
0050C205D	Ignitus Communications, LLC
0050C205E	DIVA Systems
0050C205F	Malden Electronics Ltd
0050C2060	Private
0050C2061	Simple Network Magic Corporation
0050C2062	Private
0050C2063	Ticketmaster Corp
0050C2064	Private
0050C2065	Clever Devices
0050C2066	Private
0050C2067	Riverlink Computers, Ltd.
0050C2068	Seabridge
0050C2069	EC Elettronica S.R.L.
0050C206A	Unimark
0050C206B	NCast Corporation
0050C206C	WaveCom Electronics, Inc.
0050C206D	Advanced Signal Corp.
0050C206E	Avtron Manufacturing Inc.
0050C206F	Digital Services Group
0050C2070	Katchall Technologies Group
0050C2071	NetVision Telecom
0050C2072	Neuberger Gebaeudeautomation GmbH & Co.
0050C2073	Alstom Signalling Ltd.
0050C2074	Edge Tech Co., Ltd.
0050C2075	ENTTEC Pty Ltd.
0050C2076	Litton Guidance & Control Systems
0050C2077	Saco Smartvision Inc.
0050C2078	Reselec AG
0050C2079	Flextel S.p.A
0050C207A	RadioTel
0050C207B	Trikon Technologies Ltd.
0050C207C	PLLB elettronica spa
0050C207D	Caspian Networks
0050C207E	JL-teknik
0050C207F	Dunti Corporation
0050C2080	AIM
0050C2081	Matuschek Messtechnik GmbH
0050C2082	GFI Chrono Time
0050C2083	ard sa
0050C2084	DIALOG4 System Engineering GmbH
0050C2085	Crossport Systems
0050C2086	Validyne Engineering Corp.
0050C2087	Monitor Business Machines Ltd.
0050C2088	TELINC Corporation
0050C2089	Fenwal Italia S.P.A.
0050C208A	Rising Edge Technologies
0050C208B	HYPERCHIP Inc.
0050C208C	IP Unity
0050C208D	Kylink Communications Corp.
0050C208E	BSQUARE
0050C208F	General Industries Argentina
0050C2090	Invensys Controls Network Systems
0050C2091	StorLogic, Inc.
0050C2092	DigitAll World Co., Ltd
0050C2093	KOREALINK
0050C2094	Analytical Spectral Devices, Inc.
0050C2095	SEATECH
0050C2096	Utronix Elektronikutreckling AB
0050C2097	IMV Invertomatic
0050C2098	EPEL Industrial, S.A.
0050C2099	Case Information & Communications
0050C209A	NBO Development Center Sekusui Chemical Co. Ltd.
0050C209B	Seffle Instrument AB
0050C209C	RF Applications, Inc.
0050C209D	ZELPOS
0050C209E	Infinitec Networks, Inc.
0050C209F	MetaWave Vedeo Systems
0050C20A0	CYNAPS
0050C20A1	Visable Genetics, Inc.
0050C20A2	Jäger Computergesteuerte Meßtechnik GmbH.
0050C20A3	BaSyTec GmbH
0050C20A4	Bounty Systems Pty Ltd.
0050C20A5	Mobiltex Data Ltd.
0050C20A6	Arula Systems, Inc.
0050C20A7	WaterCove Networks
0050C20A8	Kaveri Networks
0050C20A9	Radiant Networks Plc
0050C20AA	Log-In, Inc.
0050C20AB	Fastware.Net, LLC
0050C20AC	Honeywell GNO
0050C20AD	BMC Messsysteme GmbH
0050C20AE	Zarak Systems Corp.
0050C20AF	Latus Lightworks, Inc.
0050C20B0	LMI Technologies
0050C20B1	Beeline Networks, Inc.
0050C20B2	R F Micro Devices
0050C20B3	SMX Corporation
0050C20B4	Wavefly Corporation
0050C20B5	EXTREME COPPER,  INC.
0050C20B6	ApSecure Technologies (Canada), Inc.
0050C20B7	RYMIC
0050C20B8	LAN Controls, Inc.
0050C20B9	Helmut Mauell GmbH Werk Weida
0050C20BA	Pro-Active
0050C20BB	MAZet GmbH
0050C20BC	Infolink Software AG
0050C20BD	Tattile
0050C20BE	Stella Electronics & Tagging
0050C20BF	Private
0050C20C0	Imigix Ltd.
0050C20C1	Casabyte
0050C20C2	Alchemy Semiconductor, Inc.
0050C20C3	Tonbu, Inc.
0050C20C4	InterEpoch Technology,INC.
0050C20C5	SAIA Burgess Controls AG
0050C20C6	Advanced Medical Information Technologies, Inc.
0050C20C7	TransComm Technology System, Inc.
0050C20C8	The Trane Company
0050C20C9	DSS Networks, Inc.
0050C20CA	J D Richards
0050C20CB	STUDIEL
0050C20CC	AlphaMedia Co., Ltd
0050C20CD	LINET OY
0050C20CE	RFL Electronics, Inc.
0050C20CF	PCSC
0050C20D0	Telefrang AB
0050C20D1	Renaissance Networking, Inc.
0050C20D2	Real World Computing Partnership
0050C20D3	Lake Technology, Ltd.
0050C20D4	Palm, Inc.
0050C20D5	Zelax
0050C20D6	Inco Startec GmbH
0050C20D7	Summit Avionics, Inc.
0050C20D8	Charlotte's Web Networks
0050C20D9	Loewe Opta GmbH
0050C20DA	Motion Analysis Corp.
0050C20DB	Cyberex
0050C20DC	Elbit Systems Ltd.
0050C20DD	Interisa Electronica, S.A.
0050C20DE	Frederick Engineering
0050C20DF	Innovation Institute, Inc.
0050C20E0	EMAC, Inc.
0050C20E1	Inspiration Technology P/L
0050C20E2	Visual Circuits Corp.
0050C20E3	Lanex S.A.
0050C20E4	Collabo Tec. Co., Ltd.
0050C20E5	Clearwater Networks
0050C20E6	RouteFree, Inc.
0050C20E7	Century Geophysical Corp.
0050C20E8	Audio Design Associates, Inc.
0050C20E9	Smartmedia LLC
0050C20EA	iReady Corporation
0050C20EB	iREZ Technologies LLC
0050C20EC	Keith & Koep GmbH
0050C20ED	Valley Products Corporation
0050C20EE	Industrial Indexing Systems, Inc.
0050C20EF	Movaz Networks, Inc.
0050C20F0	VHB Technologies, Inc.
0050C20F1	Steelcase Inc.
0050C20F2	KMS Systems, Inc.
0050C20F3	Young Computer Co., Ltd.
0050C20F4	Sysnet Co., Ltd.
0050C20F5	Spectra Technologies Holding Co., Ltd.
0050C20F6	Carl Baasel Lasertechnik GmbH
0050C20F7	Foss NIRSystems, Inc.
0050C20F8	Tecnint HTE SRL
0050C20F9	Raven Industries Inc.
0050C20FA	GE Transportation Systems
0050C20FB	PIUSYS Co., Ltd.
0050C20FC	Kimmon Manufacturing Co., Ltd.
0050C20FD	Inducomp Corporation
0050C20FE	Energy ICT
0050C20FF	IPAXS Corporation
0050C2100	Corelatus A.B.
0050C2101	LAUD Electronic Design AS
0050C2102	Million Tech Development Ltd.
0050C2103	Green Hills Software, Inc.
0050C2104	Adescom Inc.
0050C2105	Lumentis AB
0050C2106	MATSUOKA
0050C2107	NewHer Systems
0050C2108	Balogh S.A.
0050C2109	ITK Dr. Kassen GmbH
0050C210A	Quinx AG
0050C210B	MarekMicro GmbH
0050C210C	Photonic Bridges, Inc.
0050C210D	Implementa GmbH
0050C210E	Unipower AB
0050C210F	Perceptics Corp.
0050C2110	QuesCom
0050C2111	Endusis Limited
0050C2112	Compuworx
0050C2113	Ace Electronics, Inc.
0050C2114	Quest Innovations
0050C2115	Vidco, Inc.
0050C2116	DSP Design, Ltd.
0050C2117	Wintegra Ltd.
0050C2118	Microbit 2.0 AB
0050C2119	Global Opto Communication Tech. Corp
0050C211A	Teamaxess Ticketing GmbH
0050C211B	Digital Vision AB
0050C211C	Stonefly Networks
0050C211D	Destiny Networks, Inc.
0050C211E	Volvo Car Corporation
0050C211F	CSS Industrie Computer GmbH
0050C2120	XStore, Inc.
0050C2121	COE Limited
0050C2122	Diva Systems
0050C2123	Seranoa Networks, Inc.
0050C2124	Tokai Soft Corporation
0050C2125	Tecwings GmBh
0050C2126	MaxLinear Hispania S.L.U.
0050C2127	TPA Traffic & Parking Automation BV
0050C2128	Pycon, Inc.
0050C2129	TTPCom Ltd.
0050C212A	Symbolic Sound Corp.
0050C212B	Dong A Eltek Co., Ltd.
0050C212C	DELTA TAU DATA SYSTEMS, INC.
0050C212D	Megisto Systems, Inc.
0050C212E	RUNCOM
0050C212F	Haag-Streit AG
0050C2130	U.S. Traffic Corporation
0050C2131	InBus Engineering, Inc.
0050C2132	Procon Electronics
0050C2133	ChipWrights, Inc.
0050C2134	DRS Photronics
0050C2135	ELAD SRL
0050C2136	Tensilica, Inc.
0050C2137	Uniwell Systems (UK) Ltd.
0050C2138	Delphin Technology AG
0050C2139	SR RESEARCH LTD
0050C213A	Tex Computer SRL
0050C213B	Vaisala Oyj
0050C213C	NBG Industrial Automation B.V.
0050C213D	Formula One Management Ltd.
0050C213E	AVerMedia Systems, Inc.
0050C213F	Sentito Networks
0050C2140	ITS, Inc.
0050C2141	Time Terminal Adductor Group AB
0050C2142	Instrumeter A/S
0050C2143	AARTESYS AG
0050C2144	Phytec Messtechnik GmbH
0050C2145	ELC Lighting
0050C2146	APCON, Inc.
0050C2147	UniSUR
0050C2148	Alltec GmbH
0050C2149	Haag-Streit AG
0050C214A	DYCEC, S.A.
0050C214B	HECUBA Elektronik
0050C214C	Optibase Ltd.
0050C214D	wellink, Ltd.
0050C214E	Corinex Global
0050C214F	Telephonics Corp.
0050C2150	Torse
0050C2151	Redux Communications Ltd.
0050C2152	AirVast Technology Inc.
0050C2153	Advanced Devices SpA
0050C2154	Jostra AB
0050C2155	Enea Real Time AB
0050C2156	CommServ Solutions Inc.
0050C2157	nCore, Inc.
0050C2158	Communication Solutions, Inc.
0050C2159	Standard Comm. Corp.
0050C215A	Plextek Limited
0050C215B	Dune Networks
0050C215C	Aoptix Technologies
0050C215D	Cepheid
0050C215E	Celite Systems, Inc.
0050C215F	Pulsar GmbH
0050C2160	TTI - Telecom International Ltd.
0050C2161	J&B Engineering Group S.L.
0050C2162	Teseda Corporation
0050C2163	Computerwise, Inc.
0050C2164	Acunia N.V.
0050C2165	IPCAST
0050C2166	Infineer Ltd.
0050C2167	Precision Filters, Inc.
0050C2168	ExtremeSpeed Inc.
0050C2169	Nordson Corp.
0050C216A	Time Domain
0050C216B	Masterclock, Inc.
0050C216C	Brijing Embedor Embedded Internet Tech. Co. Ltd.
0050C216D	Postec Data Systems Ltd.
0050C216E	Groupe Carrus
0050C216F	Dickson Technologies
0050C2170	Taishodo Seiko Co., Ltd.
0050C2171	Quantronix, Inc.
0050C2172	SAET I.S. S.r.l.
0050C2173	DeMeTec GmbH
0050C2174	N&P Technologies
0050C2175	Sei S.p.A.
0050C2176	Wavium AB
0050C2177	Unicoi Systems
0050C2178	Partner Voxstream A/S
0050C2179	Verifiber LLC
0050C217A	WOLF Advanced Technology.
0050C217B	Broadstorm Telecom
0050C217C	Jeffress Engineering Pty Ltd
0050C217D	Cognex Corporation
0050C217E	Binary Wave Technologies Inc.
0050C217F	PDQ Manufacturing
0050C2180	Zultys Technologies
0050C2181	Task 84 Spa
0050C2182	wolf-inf-tec
0050C2183	Mixbaal S.A. de C.V.
0050C2184	H M Computing Limited
0050C2185	Optical Wireless Link Inc.
0050C2186	Pantec Engineering AG
0050C2187	CyanConnode
0050C2188	dresden-elektronik
0050C2189	CC Systems AB
0050C218A	Basler Electric Company
0050C218B	Teradyne Inc.
0050C218C	Technodrive srl
0050C218D	CCII Systems (Pty) Ltd
0050C218E	SPARR ELECTRONICS LTD
0050C218F	MATSUI MFG CO.,LTD
0050C2190	Goerlitz AG
0050C2191	Partner Voxstream A/S
0050C2192	Advanced Concepts, Inc.
0050C2193	LaserBit Communications Corp.
0050C2194	Cominfo, Inc.
0050C2195	Momentum Data Systems
0050C2196	Netsynt Spa
0050C2197	EPM Tecnologia e Equipamentos
0050C2198	PotsTek, Inc
0050C2199	Survalent Technology Corporation
0050C219A	AZIO TECHNOLOGY CO.
0050C219B	Wilcoxon Research, Inc.
0050C219C	Artec Design
0050C219D	ELECTREX S.R.L
0050C219E	Paltronics, Inc.
0050C219F	Fleetwood Electronics Ltd
0050C21A0	SCA Data Systems
0050C21A1	Portalplayer, Inc
0050C21A2	ABB Switzerland Inc
0050C21A3	Tidel Engineering, L.P.
0050C21A4	Protech Optronics Co. Ltd.
0050C21A5	NORCO
0050C21A6	RF Code
0050C21A7	Alpha Beta Technologies, Inc.
0050C21A8	ANOVA BROADBAND
0050C21A9	Axotec Technologies GmbH
0050C21AA	BitBox Ltd
0050C21AB	Streaming Networks
0050C21AC	Beckmann+Egle GmbH
0050C21AD	Remia s.r.o.
0050C21AE	Home Director, Inc
0050C21AF	PESA Inc.
0050C21B0	BLANKOM Antennentechnik GmbH
0050C21B1	Axes Technologies
0050C21B2	SIGOS Systemintegration GmbH
0050C21B3	DSP DESIGN
0050C21B4	DSP Group Inc.
0050C21B5	Thrane & Thrane A/S
0050C21B6	DTS, Inc.
0050C21B7	MosChip USA
0050C21B8	Electronic Systems Development
0050C21B9	EmCom Technology Inc.
0050C21BA	INTERZEAG AG
0050C21BB	Email Metering
0050C21BC	DINEC International
0050C21BD	AIOI Systems Co., Ltd.
0050C21BE	Sedia Electronics
0050C21BF	International Test & Engineering Services Co.,Ltd.
0050C21C0	WillMonius Inc.
0050C21C1	InfinitiNetworks Inc.
0050C21C2	Weltronics Corp.
0050C21C3	TT electronics plc
0050C21C4	Palm Solutions Group
0050C21C5	Flander Oy
0050C21C6	Remco Italia Spa
0050C21C7	TWIN DEVELOPMENT S.A.
0050C21C8	Euphony technology CO., LTD.
0050C21C9	modas GmbH
0050C21CA	EVER Sp. z o.o.
0050C21CB	quantumBEAM Limited
0050C21CC	WaveIP
0050C21CD	INCAA Informatica Italia  srl
0050C21CE	Datatek Applications, Inc.
0050C21CF	LIFETIME MEMORY PRODUCTS, INC.
0050C21D0	Yazaki North America, Inc.
0050C21D1	Benchmark Electronics
0050C21D2	Shenyang Internet Technology Inc
0050C21D3	Synopsys
0050C21D4	Phase IV Engineering Inc.
0050C21D5	Redpoint Controls
0050C21D6	shanghai trend intelligent systems CO.,LTD
0050C21D7	Pleora Technologies Inc.
0050C21D8	Guardian Controls International Ltd
0050C21D9	EDC
0050C21DA	GFI Chrono Time
0050C21DB	Applied Systems Engineering, Inc.
0050C21DC	Imarda New Zealand Limited
0050C21DD	peiker acustic GmbH
0050C21DE	ReliOn Inc.
0050C21DF	Lulea University of Technology
0050C21E0	Cognex Corporation
0050C21E1	Automaatiotekniikka Seppo Saari Oy
0050C21E2	DIGITRONIC Automationsanlagen GmbH
0050C21E3	Bluesocket, Inc.
0050C21E4	Soronti, Inc.
0050C21E5	DORLET SAU
0050C21E6	United Tri-Tech Corporation
0050C21E7	Smith Meter, Inc.
0050C21E8	Metrotech
0050C21E9	Ranch Networks
0050C21EA	DAVE SRL
0050C21EB	Data Respons A/S
0050C21EC	COSMO co.,ltd.
0050C21ED	EMKA-electronic AG
0050C21EE	Perto Periféricos de Automação S.A.
0050C21EF	M2 Technology Pty Ltd
0050C21F0	EXI Wireless Systems Inc.
0050C21F1	SKY Computers, Inc.
0050C21F2	Tattile srl
0050C21F3	Radionor Communications
0050C21F4	Covia, Inc
0050C21F5	Abest Communication Corp.
0050C21F6	BAE SYSTEMS Controls
0050C21F7	ARC'Créations
0050C21F8	ULTRACKER TECHNOLOGY
0050C21F9	Fr. Sauter AG
0050C21FA	SP Controls, Inc
0050C21FB	Willowglen Systems Inc.
0050C21FC	EDD Srl
0050C21FD	SouthWing S.L.
0050C21FE	Safetran Traffic Systems Inc.
0050C21FF	Product Design Dept., Sohwa Corporation
0050C2200	Whittier Mailing Products, Inc.
0050C2201	OlympusNDT
0050C2202	Audio Riders Oy
0050C2203	Vocality International Ltd
0050C2204	Algodue Elettronica Srl
0050C2205	SystIng
0050C2206	Windmill Innovations
0050C2207	Solectron Ind.Com.Servs.Exportadora do Brasil Ltda.
0050C2208	nNovia, Inc.
0050C2209	LK Ltd
0050C220A	Ferrari electronic AG
0050C220B	Rafael
0050C220C	Communication and Telemechanical Systems Company Limited
0050C220D	Varisys Ltd
0050C220E	PYRAMID Computer GmbH
0050C220F	OMICRON electronics GmbH
0050C2210	Innovics Wireless Inc
0050C2211	Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH)
0050C2212	4Links Limited
0050C2213	SysAware S.A.R.L.
0050C2214	Oshimi System Design Inc.
0050C2215	VoiceCom AG
0050C2216	Level Control Systems
0050C2217	Linn Products Ltd
0050C2218	Nansen S. A. - Instrumentos de Precisão
0050C2219	Aeroflex GmbH
0050C221A	MST SYSTEMS LIMITED
0050C221B	GD Mission Systems
0050C221C	Fracarro srl
0050C221D	ESG Elektroniksystem u. Logistik GmbH
0050C221E	Applied Technologies Associates
0050C221F	Monitor Business Machines Ltd
0050C2220	Serveron Corporation
0050C2221	Getinge IT Solutions ApS
0050C2222	imo-elektronik GmbH
0050C2223	visicontrol GmbH
0050C2224	PANNOCOM Ltd.
0050C2225	nVent, Schroff GmbH
0050C2226	Ross Video Limited
0050C2227	Intelligent Photonics Control
0050C2228	Intelligent Media Technologies, Inc.
0050C2229	eko systems inc.
0050C222A	Crescendo Networks
0050C222B	Riegl Laser Measurement Systems GmbH
0050C222C	Intrinsity
0050C222D	asetek Inc.
0050C222E	LORD INGENIERIE
0050C222F	HTEC Limited
