+-------------------+---------------+-----------+-----------+-----------+---------+---------+----------+----------+-----------+-----------+---------+--------+---------+----------+
| Command           | Total_Time_us | Total_cnt | cnt_100us | cnt_500us | cnt_1ms | cnt_5ms | cnt_10ms | cnt_50ms | cnt_100ms | cnt_500ms | cnt_1s  | cnt_5s | cnt_10s | cnt_INFs |
| DEALLOCATE        | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| DELETE            | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| DESCRIBE          | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| DROP_DATABASE     | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| DROP_INDEX        | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| DROP_TABLE        | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| DROP_TRIGGER      | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| DROP_USER         | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| DROP_VIEW         | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| GRANT             | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| EXECUTE           | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| EXPLAIN           | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| FLUSH             | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| INSERT            | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| KILL              | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| LOAD              | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| LOCK_TABLE        | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| OPTIMIZE          | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| PREPARE           | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| PURGE             | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| RENAME_TABLE      | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| RESET_MASTER      | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| RESET_SLAVE       | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| REPLACE           | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| REVOKE            | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| ROLLBACK          | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| SAVEPOINT         | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| SELECT            | 4673958076637 | 68490650  | 32185976  | 36650     | 481335  | 4600948 | 2955830  | 10468460 | 4909816   | 11123900  | 1321917 | 403451 | 497     | 1870     |
| SELECT_FOR_UPDATE | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| SET               | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| SHOW_TABLE_STATUS | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| START_TRANSACTION | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| TRUNCATE_TABLE    | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| UNLOCK_TABLES     | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| UPDATE            | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| USE               | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| SHOW              | 2158          | 1         | 0         | 0         | 0       | 1       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
| UNKNOWN           | 0             | 0         | 0         | 0         | 0       | 0       | 0        | 0        | 0         | 0         | 0       | 0      | 0       | 0        |
+-------------------+---------------+-----------+-----------+-----------+---------+---------+----------+----------+-----------+-----------+---------+--------+---------+----------+
